name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit_2026,dead_cap,position,age,total_contract_value,team,years_remaining,epa_total,snaps_played,games_missed,player_id
Devon Key,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,29,0.0,DEN,1,-2.8346,65,16,den_db_devon_key
Dondrea Tillman,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,LB,28,0.0,DEN,1,7.967716666666667,619,7,den_lb_dondrea_tillman
Tyler Badie,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,RB,27,0.0,DEN,1,-3.9407,195,14,den_rb_tyler_badie
Cody Schrader,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,RB,27,0.0,DEN,1,-3.25788,448,10,den_rb_cody_schrader
Jordan Jackson,1075000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DL,28,0.0,DEN,1,7.967716666666667,619,7,den_dl_jordan_jackson
Taylor Rapp,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,DB,29,0.0,DEN,1,-2.8346,65,16,den_db_taylor_rapp
Calvin Throckmorton,1215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075000.0,0.0,OL,30,0.0,DEN,1,0.394,65,16,den_ol_calvin_throckmorton
Jeremy Crawshaw,1005000.0,43570.0,0.0,0.0,0.0,0.0,0.0,0.0,1048570.0,0.0,P,25,0.0,DEN,1,0.6219999999999999,97,15,den_p_jeremy_crawshaw
Nick Gargiulo,1005000.0,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,1034000.0,0.0,OL,26,0.0,DEN,1,0.394,65,16,den_ol_nick_gargiulo
Justin Joly,885000.0,126526.0,0.0,0.0,0.0,0.0,0.0,0.0,1011526.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_justin_joly
Karene Reid,1005000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1010000.0,0.0,LB,26,0.0,DEN,1,7.967716666666667,619,7,den_lb_karene_reid
Reese Taylor,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DB,27,0.0,DEN,1,-2.8346,65,16,den_db_reese_taylor
Jordan Turner,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,25,0.0,DEN,1,7.967716666666667,619,7,den_lb_jordan_turner
Miles Scott,885000.0,30942.0,0.0,0.0,0.0,0.0,0.0,0.0,915942.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_miles_scott
Dallen Bentley,885000.0,30122.0,0.0,0.0,0.0,0.0,0.0,0.0,915122.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_dallen_bentley
Red Murdock,885000.0,30122.0,0.0,0.0,0.0,0.0,0.0,0.0,915122.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_red_murdock
Taurean York,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,300000.0,893333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_taurean_york
Tyler Miller,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,245000.0,893333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_tyler_miller
Dasan McCullough,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,245000.0,891666.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_dasan_mccullough
Brent Austin,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,80000.0,891666.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_brent_austin
Johnny Walker Jr.,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,0.0,891666.0,0.0,DL,25,0.0,DEN,1,7.967716666666667,619,7,den_dl_johnny_walker_jr_
Dane Key,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,20000.0,888333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_dane_key
Cam Ross,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,40000.0,888333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_cam_ross
Joseph Manjack,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,70000.0,888333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_joseph_manjack
Parker Robertson,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,25000.0,888333.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_parker_robertson
Gavin Ortega,885000.0,2500.0,0.0,0.0,0.0,0.0,0.0,135000.0,887500.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_gavin_ortega
Luke Basso,885000.0,2500.0,0.0,0.0,0.0,0.0,0.0,20000.0,887500.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_luke_basso
Kolbe Katsis,885000.0,1666.0,0.0,0.0,0.0,0.0,0.0,25000.0,886666.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_kolbe_katsis
Kyrese Rowan,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,WR,25,0.0,DEN,1,10.062375,809,4,den_wr_kyrese_rowan
Reid Holskey,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,OL,24,0.0,DEN,1,0.394,65,16,den_ol_reid_holskey
Jordan Miller,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,7.967716666666667,619,7,den_dl_jordan_miller
Kristian Williams,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,7.967716666666667,619,7,den_dl_kristian_williams
Kyre Duplessis,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_kyre_duplessis
Ron Stone Jr.,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,7.967716666666667,619,7,den_dl_ron_stone_jr_
Caleb Lohner,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,TE,25,0.0,DEN,1,7.349425,747,5,den_te_caleb_lohner
Sean Fresch,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_sean_fresch
Ricardo Hallman,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,25,0.0,DEN,1,7.967716666666667,619,7,den_nan_ricardo_hallman
