player_name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit,dead_cap,position,age,total_value,team,years_remaining,epa_total,snaps_played,games_missed
Miles Scott,885000.0,30942.0,0.0,0.0,0.0,0.0,0.0,0.0,915942.0,0.0,,0,0.0,DEN,1,,,
Dallen Bentley,885000.0,30122.0,0.0,0.0,0.0,0.0,0.0,0.0,915122.0,0.0,,0,0.0,DEN,1,,,
Red Murdock,885000.0,30122.0,0.0,0.0,0.0,0.0,0.0,0.0,915122.0,0.0,,0,0.0,DEN,1,,,
Taurean York,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,300000.0,893333.0,0.0,,0,0.0,DEN,1,,,
Tyler Miller,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,245000.0,893333.0,0.0,,0,0.0,DEN,1,,,
Dasan McCullough,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,245000.0,891666.0,0.0,,0,0.0,DEN,1,,,
Brent Austin,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,80000.0,891666.0,0.0,,0,0.0,DEN,1,,,
Johnny Walker Jr.,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,0.0,891666.0,0.0,DL,25,0.0,DEN,1,,,
Dane Key,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,20000.0,888333.0,0.0,,0,0.0,DEN,1,,,
Cam Ross,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,40000.0,888333.0,0.0,,0,0.0,DEN,1,,,
Joseph Manjack,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,70000.0,888333.0,0.0,,0,0.0,DEN,1,,,
Parker Robertson,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,25000.0,888333.0,0.0,,0,0.0,DEN,1,,,
Gavin Ortega,885000.0,2500.0,0.0,0.0,0.0,0.0,0.0,135000.0,887500.0,0.0,,0,0.0,DEN,1,,,
Luke Basso,885000.0,2500.0,0.0,0.0,0.0,0.0,0.0,20000.0,887500.0,0.0,,0,0.0,DEN,1,,,
Kolbe Katsis,885000.0,1666.0,0.0,0.0,0.0,0.0,0.0,25000.0,886666.0,0.0,,0,0.0,DEN,1,,,
Kyrese Rowan,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,WR,25,0.0,DEN,1,,,
Reid Holskey,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,OL,24,0.0,DEN,1,,,
Jordan Miller,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,,,
Kristian Williams,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,,,
Kyre Duplessis,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,DEN,1,,,
Ron Stone Jr.,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,26,0.0,DEN,1,,,
Caleb Lohner,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,TE,25,0.0,DEN,1,,,
Sean Fresch,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,DEN,1,,,
Ricardo Hallman,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,,0,0.0,DEN,1,,,
Chris Jones,19000000.0,9750000.0,0.0,16000000.0,0.0,100000.0,0.0,35000000.0,44850000.0,0.0,DL,32,0.0,KC,1,,,
Patrick Mahomes,1300000.0,32353888.0,0.0,0.0,0.0,1000000.0,0.0,0.0,34653888.0,0.0,QB,31,0.0,KC,1,41.94,1040.0,1.0
Trey Smith,19750000.0,4495277.0,0.0,0.0,0.0,250000.0,0.0,19750000.0,24495277.0,0.0,OL,27,0.0,KC,1,,,
Nick Bolton,14750000.0,4250000.0,0.0,0.0,0.0,250000.0,0.0,15000000.0,19250000.0,0.0,LB,26,0.0,KC,1,,,
Jaylon Moore,14240000.0,3745000.0,0.0,0.0,510000.0,250000.0,0.0,7000000.0,18685000.0,0.0,OL,28,0.0,KC,1,,,
Creed Humphrey,14250000.0,3600000.0,0.0,0.0,0.0,250000.0,0.0,14250000.0,18100000.0,0.0,OL,27,0.0,KC,1,,,
Kristian Fulton,9750000.0,3000000.0,0.0,0.0,0.0,250000.0,0.0,5000000.0,13000000.0,0.0,DB,28,0.0,KC,1,,,
Mansoor Delane,885000.0,6738884.0,0.0,0.0,0.0,0.0,0.0,885000.0,7623884.0,0.0,,0,0.0,KC,1,,,
George Karlaftis,1215000.0,5937000.0,0.0,0.0,0.0,250000.0,0.0,1215000.0,7402000.0,0.0,DL,25,0.0,KC,1,,,
