player_name,base_salary,signing_bonus,option_bonus,roster_bonus,per_game_bonus,workout_bonus,other_bonus,guaranteed_money,cap_hit,dead_cap,position,age,total_value,team,years_remaining,epa_total,snaps_played,games_missed
DeMonte Capehart,885000.0,125540.0,0.0,0.0,0.0,0.0,0.0,0.0,1010540.0,0.0,,0,0.0,TB,1,,,
Billy Schrauth,885000.0,122551.0,0.0,0.0,0.0,0.0,0.0,0.0,1007551.0,0.0,,0,0.0,TB,1,,,
Luke Haggard,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,OL,26,0.0,TB,1,,,
Elijah Simmons,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DL,25,0.0,TB,1,,,
Connor Bazelak,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,QB,26,0.0,TB,1,,,
John Bullock,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,25,0.0,TB,1,,,
Rashad Wisdom,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DB,25,0.0,TB,1,,,
Nick Jackson,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,LB,25,0.0,TB,1,,,
Josh Williams,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,RB,26,0.0,TB,1,,,
Marcus Banks,1005000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005000.0,0.0,DB,26,0.0,TB,1,,,
Bauer Sharp,885000.0,79145.0,0.0,0.0,0.0,0.0,0.0,0.0,964145.0,0.0,,0,0.0,TB,1,,,
Garrett Greene,885000.0,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,902500.0,0.0,WR,25,0.0,TB,1,,,
Paul Rubelt,885000.0,10000.0,0.0,0.0,0.0,0.0,0.0,247500.0,895000.0,0.0,,0,0.0,TB,1,,,
Ja'Qurious Conley,885000.0,10000.0,0.0,0.0,0.0,0.0,0.0,150000.0,895000.0,0.0,,0,0.0,TB,1,,,
J.J. Roberts,885000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,895000.0,0.0,DB,25,0.0,TB,1,,,
Eric Rivers,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,225000.0,893333.0,0.0,,0,0.0,TB,1,,,
Jalon Daniels,885000.0,8333.0,0.0,0.0,0.0,0.0,0.0,247500.0,893333.0,0.0,,0,0.0,TB,1,,,
Ayden Garnes,885000.0,6666.0,0.0,0.0,0.0,0.0,0.0,100000.0,891666.0,0.0,,0,0.0,TB,1,,,
Javin Wright,885000.0,5000.0,0.0,0.0,0.0,0.0,0.0,100000.0,890000.0,0.0,,0,0.0,TB,1,,,
Henry Lutovsky,885000.0,5000.0,0.0,0.0,0.0,0.0,0.0,247500.0,890000.0,0.0,,0,0.0,TB,1,,,
Jack Pyburn,885000.0,5000.0,0.0,0.0,0.0,0.0,0.0,100000.0,890000.0,0.0,,0,0.0,TB,1,,,
Josiah Green,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,30000.0,888333.0,0.0,,0,0.0,TB,1,,,
Deshawn McKnight,885000.0,3333.0,0.0,0.0,0.0,0.0,0.0,247500.0,888333.0,0.0,,0,0.0,TB,1,,,
Kenny Fletcher Jr.,885000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,886000.0,0.0,,0,0.0,TB,1,,,
Caden Fordham,885000.0,666.0,0.0,0.0,0.0,0.0,0.0,0.0,885666.0,0.0,,0,0.0,TB,1,,,
Dean Patterson,885000.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,885333.0,0.0,,0,0.0,TB,1,,,
Yasir Holmes,885000.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,885333.0,0.0,,0,0.0,TB,1,,,
Kadarius Calloway,885000.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,885333.0,0.0,,0,0.0,TB,1,,,
Marshall Foerner,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,OL,0,0.0,TB,1,,,
Nash Hutmacher,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,25,0.0,TB,1,,,
Dennis Houston,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,WR,27,0.0,TB,1,,,
Jayson Jones,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,DL,25,0.0,TB,1,,,
Ben Scott,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,OL,25,0.0,TB,1,,,
Haggai Chisom Ndubuisi,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,OL,26,0.0,TB,1,,,
B.T. Potter,885000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885000.0,0.0,K,0,0.0,TB,1,,,
Jalen Hurts,1215000.0,4658800.0,26098000.0,0.0,0.0,0.0,0.0,51500000.0,31971800.0,0.0,QB,28,0.0,PHI,1,42.1243,1040.0,1.0
Lane Johnson,1300000.0,9910000.0,9089000.0,0.0,0.0,0.0,0.0,0.0,20299000.0,0.0,OL,36,0.0,PHI,1,,,
Jordan Mailata,1300000.0,8174233.0,5881000.0,0.0,0.0,500000.0,0.0,7000000.0,15855233.0,0.0,OL,29,0.0,PHI,1,,,
DeVonta Smith,1215000.0,4070310.0,4691200.0,0.0,510000.0,240000.0,0.0,14000000.0,10726510.0,0.0,WR,28,0.0,PHI,1,24.1752,942.0,2.0
Landon Dickerson,1215000.0,4019000.0,4891000.0,0.0,0.0,150000.0,0.0,10000000.0,10275000.0,0.0,OL,28,0.0,PHI,1,,,
Dallas Goedert,1300000.0,8885880.0,0.0,1450000.0,0.0,0.0,1000000.0,1300000.0,10230880.0,0.0,TE,31,0.0,PHI,1,8.9476,780.0,5.0
Saquon Barkley,1300000.0,2475000.0,6106000.0,100.0,0.0,250000.0,0.0,16750000.0,9881100.0,0.0,RB,29,0.0,PHI,1,44.6422,1040.0,1.0
Zack Baun,1215000.0,3216000.0,3207000.0,0.0,0.0,250000.0,0.0,16750000.0,7638000.0,0.0,LB,30,0.0,PHI,1,,,
